iter	RMSE
0	0.1988838885
1	0.1988491589
2	0.1987972156
3	0.1987625492
4	0.1987073531
5	0.1986732721
6	0.1986291727
7	0.198569175
8	0.1985233491
9	0.198478557
10	0.1984402136
11	0.1984059266
12	0.1983736024
13	0.1983300442
14	0.1982968038
15	0.1982616583
16	0.1982288816
17	0.1981894413
18	0.1981530216
19	0.1981202722
20	0.1980894593
21	0.1980544448
22	0.1980193312
23	0.1979671948
24	0.1979367069
25	0.1979009525
26	0.1978656165
27	0.1978305674
28	0.19779469
29	0.1977512873
30	0.197719267
31	0.1976853593
32	0.1976521581
33	0.1976166703
34	0.1975851105
35	0.1975480193
36	0.1975129412
37	0.1974776238
38	0.1974455644
39	0.1974105438
40	0.197375398
41	0.1973347097
42	0.197301898
43	0.1972694525
44	0.197234791
45	0.197200479
46	0.1971675407
47	0.1971314791
48	0.1970718792
49	0.1970340165
50	0.1970012452
51	0.1969659024
52	0.1969310291
53	0.1968869433
54	0.196847026
55	0.1968128604
56	0.1967799154
57	0.1967355171
58	0.1967001656
59	0.1966626738
