iter	Passed	Remaining
0	17	359549
1	31	319240
2	47	319300
3	51	258113
4	63	254374
5	79	264025
6	93	268022
7	109	273865
8	124	276986
9	128	256103
10	131	238855
11	140	233480
12	155	239419
13	159	227133
14	162	216762
15	166	207405
16	169	199595
17	173	192321
18	176	185894
19	186	186677
20	202	192186
21	205	186470
22	208	181364
23	212	176635
24	215	172296
25	219	168388
26	223	164980
27	232	166120
28	249	172083
29	265	176684
30	269	173353
31	281	175379
32	295	179025
33	299	175956
34	311	177498
35	327	181404
36	330	178330
37	343	180345
38	356	182679
39	373	186206
40	387	188741
41	391	185866
42	394	183178
43	398	180632
44	401	178164
45	417	181294
46	433	184122
47	437	181676
48	448	182775
49	465	185611
50	480	188130
51	496	190587
52	511	192662
53	526	194563
54	542	196662
55	558	198792
56	574	200947
57	589	202794
58	605	204681
59	621	206640
60	625	204406
61	628	202205
62	635	201227
63	652	203116
64	667	204573
65	681	205899
66	685	203796
67	697	204449
68	713	206154
69	728	207474
70	743	208802
71	759	210229
72	775	211653
73	778	209734
74	782	207839
75	789	207054
76	805	208315
77	820	209670
78	837	211151
79	840	209351
80	844	207623
81	852	207094
82	868	208487
83	884	209629
84	899	210699
85	915	211986
86	929	212820
87	945	214051
88	961	215179
89	976	215985
90	991	216923
91	1006	217813
92	1022	218945
93	1026	217305
94	1029	215694
95	1032	214119
96	1036	212573
97	1039	211065
98	1052	211589
99	1068	212607
100	1071	211154
101	1083	211443
102	1099	212386
103	1102	210964
104	1106	209583
105	1109	208228
106	1112	206886
107	1130	208296
108	1146	209153
109	1162	210122
110	1177	210964
111	1180	209650
112	1192	209914
113	1209	210915
114	1223	211600
115	1239	212520
116	1243	211254
117	1246	210010
118	1249	208780
119	1255	207915
120	1270	208806
121	1274	207631
122	1277	206482
123	1281	205340
124	1284	204225
125	1288	203200
126	1301	203722
127	1305	202632
128	1308	201557
129	1311	200511
130	1315	199480
131	1318	198465
132	1332	199043
133	1347	199829
134	1363	200670
135	1378	201383
136	1394	202177
137	1410	202994
138	1413	201994
139	1425	202219
140	1440	202925
141	1444	201945
142	1447	200975
143	1455	200674
144	1471	201509
145	1487	202242
146	1502	202917
147	1505	201977
148	1509	201060
149	1516	200748
150	1532	201505
151	1548	202223
152	1564	202995
153	1568	202107
154	1579	202260
155	1595	202966
156	1598	202081
157	1602	201210
158	1611	201125
159	1626	201706
160	1629	200850
161	1633	200006
162	1636	199187
163	1640	198366
164	1643	197562
165	1657	197995
166	1672	198664
167	1676	197865
168	1687	198018
169	1702	198601
170	1705	197813
171	1709	197034
172	1717	196815
173	1733	197521
174	1737	196784
175	1740	196052
176	1749	195905
177	1765	196596
178	1769	195898
179	1772	195179
180	1776	194494
181	1795	195554
182	1811	196200
183	1815	195523
184	1826	195608
185	1842	196282
186	1860	197082
187	1864	196515
188	1868	195880
189	1872	195238
190	1877	194693
191	1881	194057
192	1890	194005
193	1922	196299
194	1926	195624
195	1929	194950
196	1932	194284
197	1936	193630
198	1953	194348
199	1968	194916
200	1972	194259
201	1975	193609
202	1984	193563
203	2000	194141
204	2003	193504
205	2015	193650
206	2030	194139
207	2046	194715
208	2062	195299
209	2065	194675
210	2069	194081
211	2078	193980
212	2094	194528
213	2110	195094
214	2125	195617
215	2141	196100
216	2144	195488
217	2156	195704
218	2172	196218
219	2175	195614
220	2188	195855
221	2203	196337
222	2218	196791
223	2234	197255
224	2237	196656
225	2240	196064
226	2250	195993
227	2264	196385
228	2280	196897
229	2296	197387
230	2299	196805
231	2312	197008
232	2328	197503
233	2343	197995
234	2359	198470
235	2376	198988
236	2392	199468
237	2406	199798
238	2422	200256
239	2437	200697
240	2453	201171
241	2456	200598
242	2460	200065
243	2468	199894
244	2484	200309
245	2499	200725
246	2502	200165
247	2506	199614
248	2509	199067
249	2515	198722
250	2531	199156
251	2534	198616
252	2547	198823
253	2562	199220
