iter	RMSE
0	0.1984427236
5	0.1962283512
10	0.1943238718
15	0.1926955721
20	0.1913123296
25	0.1901071699
30	0.1890802285
35	0.1881733903
40	0.1873677438
45	0.1866653468
50	0.1860631084
55	0.1855108515
60	0.1850727244
65	0.1845872527
70	0.1841754161
75	0.18379775
80	0.1834585419
85	0.1832064584
90	0.1829136845
95	0.1825924026
100	0.1823453737
105	0.1821953848
110	0.182001596
115	0.1818026464
120	0.1815612614
125	0.1813468191
130	0.1811918857
135	0.1810453656
140	0.1808494531
145	0.1807129274
150	0.1805703073
155	0.1803863623
160	0.1802064716
165	0.1800311827
170	0.1799578021
175	0.1798424173
180	0.1797000126
185	0.1795786971
190	0.1794843281
195	0.1792586225
200	0.1790390926
205	0.178823977
210	0.1786691067
