iter	Passed	Remaining
0	13	272462
1	25	254874
2	38	256960
3	50	254163
4	63	255368
5	77	258123
6	90	258642
7	104	260149
8	117	260668
9	131	261935
10	144	262941
11	157	263043
12	171	263594
13	183	261403
14	193	257288
15	206	257973
16	219	258508
17	232	258571
18	246	259038
19	257	257361
20	271	257880
21	283	257471
22	295	256974
23	306	254736
24	319	255072
25	331	254966
26	345	255331
27	358	255418
28	370	254895
29	380	253081
30	390	251575
31	404	252111
32	416	252291
33	427	250988
34	440	251426
35	454	252068
36	464	250452
37	477	250630
38	490	250823
39	503	251126
40	516	251248
41	529	251527
42	542	251730
43	556	252250
44	569	252760
45	583	253086
46	595	252911
47	608	253098
48	622	253305
49	634	252966
50	646	252905
51	659	253017
52	671	252842
53	685	253204
54	697	253078
55	711	253403
56	724	253382
57	733	252140
58	744	251681
59	758	251961
60	771	252151
61	783	252061
62	793	251200
63	804	250689
64	818	250946
65	831	251024
66	840	250003
67	853	250257
68	866	250182
69	878	250241
70	892	250454
71	905	250527
72	918	250715
73	930	250549
74	943	250547
75	955	250478
76	968	250701
77	981	250740
78	994	250846
79	1008	251028
80	1020	250978
81	1032	250742
82	1044	250679
83	1057	250802
84	1067	250155
85	1080	250087
86	1093	250226
87	1106	250360
88	1117	250048
89	1130	250067
90	1143	250246
91	1156	250295
92	1170	250449
93	1182	250441
94	1194	250379
95	1207	250379
96	1220	250436
97	1234	250663
98	1246	250596
99	1259	250692
100	1273	250838
101	1281	250049
102	1290	249383
103	1301	248976
104	1313	248862
105	1322	248245
106	1336	248457
107	1349	248642
108	1362	248594
109	1373	248431
110	1388	248721
111	1401	248854
112	1414	248956
113	1424	248532
114	1435	248151
115	1448	248361
116	1462	248475
117	1476	248726
118	1490	249031
119	1504	249197
120	1518	249468
121	1531	249516
122	1544	249543
123	1555	249333
124	1569	249532
125	1583	249692
126	1595	249608
127	1607	249581
128	1619	249492
129	1633	249728
130	1647	249820
131	1656	249302
132	1667	249080
133	1680	249099
134	1689	248614
135	1703	248813
136	1714	248545
137	1723	248069
138	1737	248239
139	1748	247977
140	1760	248024
141	1774	248112
142	1784	247849
143	1798	247965
144	1810	247977
145	1825	248240
146	1839	248435
147	1854	248711
148	1868	248945
149	1878	248566
150	1892	248717
151	1905	248826
152	1919	249013
153	1933	249173
154	1946	249213
155	1956	248889
156	1967	248697
157	1982	248936
158	1995	248994
159	2009	249132
160	2023	249374
161	2038	249591
162	2052	249747
163	2066	249998
164	2081	250226
165	2097	250584
166	2110	250602
167	2124	250831
168	2138	250952
169	2151	251005
170	2165	251107
171	2177	251074
172	2188	250816
173	2202	250956
174	2216	251045
175	2230	251182
176	2242	251145
177	2253	250999
178	2266	250973
179	2279	251052
180	2294	251190
181	2308	251341
182	2321	251372
183	2334	251449
184	2348	251541
185	2361	251546
186	2374	251537
187	2388	251680
188	2400	251587
189	2414	251759
190	2431	252125
191	2442	252021
192	2455	252035
193	2470	252186
194	2483	252267
195	2496	252286
196	2509	252230
197	2522	252295
198	2535	252315
199	2547	252194
200	2561	252297
201	2573	252275
202	2587	252374
203	2601	252424
204	2614	252491
205	2628	252592
206	2637	252233
207	2648	252060
208	2662	252089
209	2674	251992
210	2687	252009
211	2700	252070
212	2713	252118
213	2729	252341
