iter	RMSE
0	0.1959025769
1	0.1956695264
2	0.1954577974
3	0.1952519305
4	0.1950239869
5	0.1948084028
6	0.1945679717
7	0.1943345396
8	0.1941199535
9	0.1939081079
10	0.1937209594
11	0.1935181645
12	0.1933146292
13	0.1931064378
14	0.1928874087
15	0.1927053911
16	0.1925182517
17	0.1923164604
18	0.1921233855
19	0.1919332293
20	0.1917532374
21	0.1915640189
22	0.1913779602
23	0.1911858303
24	0.1910101973
25	0.1908439184
26	0.1906557199
27	0.1904897906
28	0.190333721
29	0.1901592815
30	0.1899969759
31	0.1898443929
32	0.1896748287
33	0.1895312965
34	0.1893760871
35	0.1892236457
36	0.1890464268
37	0.1888894861
38	0.1887364283
39	0.188580647
40	0.1884356945
41	0.188292523
42	0.1881505642
43	0.1880093576
44	0.1878598938
45	0.1877190686
46	0.1875647244
47	0.1874370905
48	0.1872935377
49	0.1871544203
50	0.1870237279
51	0.1868717871
52	0.1867426284
53	0.186591798
54	0.1864624243
55	0.1863407971
56	0.1862074081
57	0.1860720436
58	0.1859517692
59	0.1858147779
60	0.1856922153
61	0.1855796572
62	0.1854598139
63	0.1853300718
64	0.1852049038
65	0.1850862684
66	0.1849565057
67	0.1848421536
68	0.1847313814
69	0.1846191595
70	0.1845117941
71	0.1844033496
72	0.1842792107
73	0.1841617762
74	0.1840504095
75	0.1839328258
76	0.1838323276
77	0.1837261418
78	0.1836181221
79	0.1835093301
80	0.1834075643
81	0.1833050701
82	0.1832059602
83	0.1831053532
84	0.1830070434
85	0.182910102
86	0.1828099307
87	0.1827099954
88	0.1826095778
89	0.1825129838
90	0.182418262
91	0.1823253064
92	0.1822272605
93	0.1821229643
94	0.1820320303
95	0.1819417786
96	0.1818480563
97	0.1817496127
98	0.1816593397
99	0.1815586285
100	0.1814597089
101	0.1813834458
102	0.1813007609
103	0.1812146002
104	0.1811245667
105	0.1810352511
106	0.1809420325
107	0.1808579253
108	0.1807707677
109	0.1806809762
110	0.1806017232
111	0.180518986
112	0.1804349388
113	0.1803531878
114	0.1802727878
115	0.1801969913
116	0.1801269999
117	0.180052128
118	0.179976466
119	0.1798946698
120	0.1798108388
121	0.1797242391
122	0.1796557762
123	0.1795814548
124	0.1795083079
125	0.1794287868
126	0.1793449217
127	0.1792683973
128	0.1791914414
