iter	Passed	Remaining
0	6	129655
1	17	170474
2	24	160264
3	47	237646
4	59	237955
5	71	237417
6	81	233481
7	92	232035
8	103	229711
9	114	228634
10	121	220540
11	133	221903
12	140	215765
13	148	211912
14	156	208454
15	171	214284
16	178	209931
17	188	208922
18	199	209769
19	206	205883
20	212	202279
21	234	212520
22	240	208772
23	255	212987
24	263	210187
25	274	210606
26	284	210579
27	291	207677
28	297	205099
29	304	202479
30	316	204087
31	323	201746
32	329	199543
33	337	198118
34	351	200719
35	362	201274
36	369	199512
37	379	199193
38	390	199868
39	397	198460
40	408	199090
41	421	200223
42	424	197236
43	436	197788
44	447	198382
45	454	196992
46	461	195868
47	468	194733
48	481	196000
49	487	194697
50	494	193492
51	505	193958
52	514	193810
53	525	194056
54	532	193277
55	546	194500
56	557	194923
57	564	193959
58	571	193051
59	585	194546
60	592	193641
61	599	192790
62	606	191816
63	616	192181
64	623	191155
65	634	191621
66	641	190827
67	656	192491
68	681	196838
69	688	195909
70	699	196314
71	710	196531
72	721	196938
73	728	196097
74	742	197256
75	749	196387
76	761	197079
77	768	196349
78	780	196737
79	786	195825
80	792	194936
81	798	193999
82	816	195837
83	822	195086
84	833	195365
85	844	195457
86	850	194727
87	857	193968
88	863	193234
89	870	192481
90	881	192915
91	892	193188
92	899	192541
93	911	193116
94	918	192350
95	925	191822
96	931	191226
97	944	191760
98	955	192018
99	966	192379
100	976	192376
101	983	191830
102	993	191998
103	1004	192189
104	1015	192429
105	1022	191856
106	1028	191250
107	1044	192327
108	1050	191783
109	1061	192010
110	1072	192251
111	1079	191666
112	1085	191073
113	1097	191439
114	1107	191521
115	1114	191028
116	1122	190759
117	1133	190970
118	1148	191928
119	1156	191583
120	1163	191106
121	1173	191143
122	1180	190731
123	1187	190336
124	1194	189882
125	1208	190553
126	1214	190065
127	1221	189657
128	1231	189731
